date,temp_2m,dewpoint_2m,surface_pressure,wind_u,wind_v,water_vapour,relative_humidity,wind_speed,precipitation
1990-05-06,19.468536,12.948761,882.0125,-2.4504395,0.2390008,20.822575,65.99444,2.4620671,0.025
1990-05-07,19.024323,12.993988,883.04517,-2.22575,0.473629,18.071745,68.04615,2.275585,0.001
1990-05-08,18.183014,13.100739,882.8114,-2.0796967,0.17018509,18.699995,72.22614,2.0866482,0.344
1990-05-09,17.95581,11.741058,880.835,-1.9927177,-0.2279625,17.020935,67.00915,2.0057144,0.075
1990-05-10,18.353363,11.765106,880.02576,-1.1481743,-0.4144783,17.991562,65.461,1.220695,0.011
1990-05-11,19.904053,12.134308,881.28986,-2.9554672,-0.5101547,18.47518,60.893948,2.999174,0.044
1990-05-12,18.826874,12.474701,883.15625,-3.1362228,-0.46399307,19.327011,66.58698,3.17036,0.04
1990-05-13,18.706146,12.856659,884.2664,-2.6403427,0.82566833,22.043892,68.79129,2.7664306,0.896
1990-05-14,16.129791,11.294098,885.017,-2.8617287,1.2149925,18.508768,73.03356,3.1089706,2.652
1990-05-15,15.05423,10.191406,885.7042,-3.0679321,1.3381958,18.768612,72.70843,3.3470845,3.016
1990-05-16,16.157623,12.298889,885.8608,-2.8104668,0.28356934,19.399014,77.899635,2.8247364,2.069
1990-05-17,16.617462,13.524689,885.1414,-2.5690842,-0.11978531,20.14463,81.966095,2.571875,2.725
1990-05-18,17.38797,13.402435,886.0053,-1.7512207,0.95018387,20.667744,77.44264,1.9923913,1.197
1990-05-19,17.126434,12.662384,886.03955,-2.1766167,1.020443,18.987556,75.01803,2.4039476,2.723
1990-05-20,17.074982,13.267303,884.1301,-2.107544,-0.17417526,19.304344,78.29805,2.114729,2.296
1990-05-21,17.747955,11.385651,882.01373,-1.1114502,-0.3022232,16.929783,66.31556,1.1518074,0.044
1990-05-22,18.26059,10.166901,882.3714,-1.4511032,0.06693649,14.650131,59.214287,1.4526463,0.0
